residence	current_location	blood_group	job	mail	user_id	birthdate	company	name	username	ssn	registration	station_ID
	(Decimal('-39.6140315'), Decimal('22.351713'))	A+		schachtkaren@web.de	1135	1923-01-03	Ruppert Stey GbR	Raymund Benthin	hornigdan	226-93-4078	2021-04-21	729
	(Decimal('69.634637'), Decimal('66.117558'))	AB-		plopes@gmail.com	773	1918-05-23	Gonçalves e Filhos	Leonardo Mendonça	diasana-clara	35096471810	12/16/2019, 00:00:00	668
	(Decimal('19.563271'), Decimal('-41.108627'))	AB-		tanakayoko@hotmail.com	1532	2001-01-04	中村食品有限会社	吉田 陽子	sayuri90	066-73-4209	2023/01/30	482
	(Decimal('34.010482'), Decimal('129.946434'))	O-		brandoncruz@yahoo.com	2025		Silva-Gardner	Scott Thomas	rossjoy	368-27-2375	09 Feb 2024	284
	(Decimal('61.148803'), Decimal('115.371931'))	O+		serragliogiorgio@tiscali.it	638	1997-05-14	Ortese-Agnesi s.r.l.	Dott. Maurilio Zanazzo	orlandogilardoni	SNSGNT39E71B896C	2022-03-09	572
	(Decimal('-33.655737'), Decimal('-164.423409'))	O+		ashepard@yahoo.com	1897		Wiggins, Davis and Shepard	Jennifer Best	dblake	118-02-5512	07/29/2023, 00:00:00	136
	(Decimal('30.3419525'), Decimal('7.443132'))	O-		toddbaker@hotmail.com	6	1930-08-15	Cook-Hanson	Rebecca Arnold	kimkaren	245-59-0086	2024/01/18	635
	(Decimal('-75.2336965'), Decimal('125.471153'))	B+		velischeel@yahoo.de	603	2022-04-12	Mitschke GmbH	Ekkehart Hecker	patrik49	759-87-0055	2021-06-11	470
	(Decimal('-84.978195'), Decimal('66.530232'))	AB-		rryan@hotmail.com	919		Fleming-Cook	Timothy Sloan	goodwinmatthew	580-97-1998	01/17/2022, 00:00:00	555
	(Decimal('-63.973140'), Decimal('-120.697397'))	O-		mato80@gmx.de	724		Scheibe Cichorius AG	Michaele Reinhardt	annerose76	695-70-3557	2021-04-02	582
